"timestamp.ms","jerk.cost.m2s5"
865171.422,38649.729
865962.438,44194.938
866753.453,38678.107
867544.469,49591.785
868325.719,39402.172
869097.203,32975.706
869878.453,40248.27
870659.703,43045.544
871460.484,45494.772
872251.5,44509.338
873042.516,49344.938
873794.469,41509.643
874575.719,43525.651
875356.969,46144.507
876147.984,41337.775
876929.234,42827.127
877690.953,41418.437
878462.438,45121.728
879243.688,43582.34
880054.234,43238.553
880815.953,35742.418
881606.969,41919.139
882417.516,40503.569
883189,35895.398
883980.016,39607.985
884771.031,41422.195
885542.516,41769.58
886343.297,43235.896
887134.312,38626.085
887935.094,41738.814
888716.344,36772.662
889517.125,40934.747
890308.141,41662.358
891089.391,37622.762
891870.641,35813.166
892671.422,40316.377
893472.203,38312.324
894253.453,38794.222
895054.234,38106.452
895835.484,38938.484
896626.5,38071.576
897427.281,40931.202
898218.297,39314.647
898989.781,35124.608
899790.562,41948.257
900571.812,39817.523
901333.531,39320.26
902124.547,47621.117
902905.797,40560.374
903706.578,47375.575
904478.062,39235.071
905249.547,38560.866
906050.328,47861.744
906851.109,46488.183
907622.594,42700.21
908403.844,41965.551
909194.859,41739.746
909995.641,44354.729
910767.125,37737.422
911567.906,41975.431
912339.391,38987.133
913140.172,36811.051
913901.891,37646.911
914702.672,42703.015
915464.391,33495.64
916265.172,40294.072
917046.422,33953.289
917847.203,43507.34
918618.688,35015.324
919419.469,46190.96
920181.188,41819.046
920962.438,44998.207
921743.688,39445.519
922534.703,45683.949
923325.719,45296.299
924116.734,41368.396
924897.984,39676.556
925698.766,50448.656
926480.016,45790.792
927251.5,37906.989
928042.516,43330.939
928843.297,46746.783
929614.781,34718.608
930405.797,40079.308
931196.812,41789.914
931978.062,40225.607
932778.844,47683.654
933579.625,46606.674
934360.875,41385.201
935142.125,42974.173
935933.141,47694.524
936733.922,40096.645
937515.172,44228.111
938296.422,44906.951
939097.203,35203.166
939868.688,37583.244
940659.703,44986.103
941450.719,46270.143
942251.5,37408.033
943032.75,38731.001
943833.531,39400.158
944634.312,40388.834
945415.562,42013.994
946216.344,43629.422
947017.125,38591.194
947808.141,39714.103
948589.391,40052.524
949399.938,44762.91
950181.188,35255.785
950981.969,37086.194
951772.984,39460.339
952554.234,41729.479
953345.25,41813.891
954126.5,39108.232
954917.516,43011.113
955698.766,39979.204
956480.016,36334.954
957271.031,37760.005
958071.812,47390.827
958853.062,37096.793
959644.078,43089.769
960435.094,43763.287
961226.109,42269.146
962017.125,44816.841
962817.906,44816.329
963599.156,34429.29
964380.406,41678.364
965171.422,38586.512
965952.672,37421.901
966724.156,36473.533
967505.406,37816.498
968296.422,38791.408
969087.438,35977.71
969868.688,38506.808
970649.938,34202.478
971460.484,33983.983
972271.031,34539.147
973062.047,35704.07
973833.531,32491.79
974624.547,39786.438
975425.328,36491.744
976226.109,37822.648
976997.594,37080.692
977788.609,33660.799
978579.625,37808.757
979370.641,39100.822
980151.891,34816.281
980933.141,37700.167
981714.391,32338.343
982505.406,36834.435
983296.422,36249.872
984087.438,37006.821
984858.922,34715.009
985649.938,34998.111
986460.484,33716.865
987241.734,39399.226
988022.984,41065.113
988804.234,37583.317
989595.25,37303.695
990366.734,37508.363
991167.516,36362.279
991948.766,34931.064
992730.016,39468.713
993521.031,34885.521
994302.281,37751.96
995112.828,40079.971
995894.078,40417.025
996694.859,44656.647
997485.875,35857.101
998286.656,45158.087
999058.141,40802.99
999839.391,40561.254
1000591.344,37811.616
1001382.359,47258.843
1002153.844,43387.103
1002925.328,38737.576
1003706.578,41627.735
1004497.594,46965.919
1005278.844,39480.791
1006050.328,38670.95
1006841.344,42461.294
1007622.594,39517.216
1008423.375,43527.258
1009214.391,42202.838
1009995.641,40144.623
1010776.891,37686.348
1011567.906,38854.67
1012358.922,43547.753
1013149.938,44533.284
1013950.719,38283.545
1014741.734,40310.386
1015522.984,40656.409
1016294.469,41749.52
1017075.719,44008.633
1017866.734,42862.108
1018657.75,41523.395
1019439,43817.647
1020210.484,41384.47
1021001.5,41274.048
1021763.219,38677.834
1022534.703,45662.454
1023325.719,40905.282
1024097.203,36643.224
1024878.453,42625.475
1025669.469,40099.276
1026460.484,44880.583
1027241.734,36699.565
1028022.984,36119.037
1028823.766,47633.383
1029595.25,42493.126
1030396.031,45694.561
1031147.984,38218.256
1031929.234,44272.642
1032710.484,39541.636
1033501.5,42669.635
1034282.75,41360.903
1035073.766,43443.343
1035864.781,42538.478
1036655.797,39348.703
1037437.047,42909.796
1038189,37197.688
1038989.781,47188.731
1039761.266,43271.455
1040532.75,39221.754
1041314,39095.097
1042105.016,42152.781
1042876.5,39757.005
1043657.75,40115.16
1044439,44476.93
1045230.016,42828.497
1046001.5,29650.185
1046782.75,34622.833
1047564,42466.024
1048364.781,45003.301
1049116.734,37095.83
1049907.75,42196.623
1050669.469,40757.346
1051470.25,41236.569
1052241.734,37251.516
1053022.984,44493.287
1053814,41992.888
1054605.016,40557.435
1055376.5,37086.321
1056157.75,38248.92
1056929.234,37109.067
1057710.484,40209.882
1058481.969,38251.083
1059253.453,43547.719
1060034.703,46565.155
1060796.422,43452.653
1061587.438,47845.96
1062358.922,43102.646
1063149.938,48003.405
1063901.891,40757.553
1064702.672,48384.56
1065454.625,42421.575
1066245.641,40902.251
1067046.422,48712.011
1067827.672,37725.603
1068618.688,43188.058
1069409.703,32591.716
1070181.188,36995.174
1070981.969,41312.773
1071753.453,33718.716
1072564,43069.535
1073355.016,40602.398
1074146.031,39109.044
1074937.047,34718.545
1075718.297,41042.359
1076509.312,36699.903
1077290.562,43883.816
1078081.578,35440.492
1078862.828,40006.901
1079663.609,38364.138
1080454.625,39684.659
1081245.641,40082.663
1082036.656,41769.758
1082817.906,41763.082
1083618.688,39484.323
1084390.172,34738.191
1085181.188,36767.315
1085962.438,36249.886
1086743.688,37345.181
1087544.469,41278.342
1088325.719,37953.035
1089087.438,37378.433
1089888.219,38062.976
1090679.234,34204.197
1091470.25,41500.855
1092271.031,41421.634
1093052.281,39018.494
1093853.062,39534.295
1094644.078,38231.953
1095435.094,37557.708
1096226.109,35762.623
1096997.594,34479.976
1097769.078,33086.813
1098560.094,45365.454
1099360.875,40487.897
1100132.359,36775.372
1100933.141,45219.36
1101724.156,38295.259
1102524.938,42345.725
1103296.422,33689.913
1104077.672,40181.982
1104888.219,44219.878
1105669.469,39264.349
1106470.25,42892.707
1107231.969,39801.937
1108022.984,41599.914
1108823.766,43542.042
1109585.484,40073.662
1110366.734,42554.108
1111177.281,45499.697
1111968.297,42693.272
1112730.016,36356.156
1113521.031,37923.317
1114302.281,39076.655
1115093.297,42046.646
1115894.078,34820.413
1116694.859,41507.027
1117485.875,38524.294
1118276.891,40472.948
1119058.141,39191.626
1119858.922,41053.864
1120620.641,30482.318
1121421.422,41289.477
1122183.141,36153.474
1122954.625,38512.703
1123735.875,40838.918
1124517.125,41588.236
1125308.141,41142.636
1126079.625,37933.37
1126880.406,42174.976
1127651.891,40708.908
1128433.141,38800.526
1129214.391,35665.961
1129985.875,38797.055
1130776.891,44434.499
1131548.375,37679.538
1132329.625,39848.004
1133120.641,45678.817
1133911.656,39175.192
1134673.375,33737.707
1135444.859,41167.261
1136226.109,40893.224
1136997.594,39518.791
1137788.609,38483.139
